Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.170141205,0.529161071,0.571479105,0.42382588,0.575764583,0.523024512,0.538653598,0.721499059,0.773698134,0.522801301,0.566816345,0.116922155,0.339498771,0.350510073,0.639465402,0.542007163,0.453584528,0.444947442,0.378779325,0.659422496,0.848502162,0.832560162,0.517531673,1.129022555,1.027209801,1.333446671,1.51696446,1.19997217,1.62682221,2.08054472,2.288204482,1.765837238,2.057930224,1.512399918,1.102006943,1.873074775,1.035391295,1.206102801,0.592348841,0.635977948,-0.015968856,0.635517613,0.571493913,1.135741238,1.000323207,0.305877924,0.940187533,0.801857462,1.072360821,1.008020679,1.546067343,1.459183308,1.746275092,1.092583344,1.486254255,1.329895821,1.503663675,1.200651304,1.402652711,1.159368014,0.989866826,1.047857055,0.845429123,1.25473273,1.000918009,0.878065722,1.060053428,1.719189506,1.421028807,1.245302992,1.600533735,1.721632771,1.625430434,1.483348691,1.654194723,2.127663076,2.092306805,1.937771269,1.985600282,2.22885604,1.936784497,2.100476752,2.052164081,2.405602839,2.403669426,2.041225269,1.971394077,2.124320651,2.291929328,2.259117273,2.212211726,2.329549888,2.090435545,1.880989688,2.276689826,1.355716981,1.487617883,0.500564375,-0.134290897,0.713875713,0.882086747,0.052717232,1.02587925,1.67596771,1.106466019,1.620344467,1.816885781,2.698556844,3.437342635,2.912235343,3.089992369,3.564311631,2.315933656,1.634150479,1.915076548,2.40452883,2.080700566,2.117976507,2.010000213,1.810447299,-0.296627762,-1.442020551,-0.968058529,-0.273409965,0.390864607,-0.650197028,0.489342191,0.761590246,0.758584863,0.94028684,3.236868532,4.390665081,4.294591293,3.81764704,3.027720379,3.992773021,2.696880057,2.950243225,2.950955487,3.028717085,2.547756232,3.12516045,3.569629085,3.065041669,3.797066799,4.143836312,4.2774483,3.820994115,4.010041954,3.928547715,3.848261787,3.476832382,3.476755452,3.800490359,2.812140478,2.33910847,2.76502092,2.64680279,2.412549689,2.161034493,1.9779656,1.692667785,1.537972394,1.496705764,2.082146006,2.605083752,2.341063781,2.225330285,2.220635132,1.910934962,2.074642047,2.268456434,2.123187675,1.819953712,1.891025977,1.722293876,1.599256945,1.860903251,1.929000423,2.13255799,2.351794344,2.283663094,2.127762578,2.173070864,1.835245822,1.853058445,1.921944569,1.752745929,1.425389122,0.535496377,0.317142313,0.330527782
Djibouti,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.301874615,0.561572836,0.821943459,1.082988225,1.34470888,1.607107172,1.870184857,2.133943695,2.398385447,2.663511883,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.929324776,2.942700981,2.701899472,2.542878368,2.550311809,2.314958335,2.141652567,1.947700845,1.634850944,1.622825856,1.680282733,1.440412014,1.244501445,1.197239174,0.806155288,0.727331458,0.647233948,0.528551943,0.478904042,0.178066098,1.564973715,1.849601011,2.032203878,2.106108939,1.697193946,1.645333753,2.034243053,0.202481085,-0.126859951,-0.318531306,-2.171359873,-2.436478237,-2.460833288,-2.812685327,-1.426541646,-1.596448805,-2.245553215,-0.67446805,-0.764594645,-1.155450518,-1.366304092,-1.632955311,-1.898749097,-2.319757225,-3.535670456,-3.792797957,-4.165394846,-4.099578666,-3.728889013,-3.009896655,-2.687072882,-2.468622552,-2.173165088,-1.433233399,-1.05184049,-0.437646812,0.379556746,0.768893166,1.163071478,1.244359929,1.34964913,1.484975836
Dominica,0,0,0,0,0,0,0,0,0,0,0,0.065882592,0.131808589,0.19777802,0.263790914,0.329847298,0.395947202,0.462090655,0.528277684,0.594508319,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.743328052,0.825941206,0.908622106,0.991370807,1.074187365,1.157071835,1.240024274,1.323044737,1.406133279,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.453459939,1.417642571,1.381837847,1.346045764,1.310266318,1.274499503,1.238745315,1.20300375,1.167274803,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.13155847,1.643554934,2.19035964,2.826934642,3.25974084,3.327430481,3.744880739,3.717991349,4.584740684,2.208807204,3.380517354,3.889816503,3.651833394,3.227036811,3.30628747,3.338508325,3.600812803,4.372062958,4.348524672,6.69034816,5.968916148,4.840594724,4.824742232,4.451975096,3.953911792,3.93259254,3.493299108,2.898515188,2.281694648,2.323234952,1.814880784,1.400044335,0.592648128,0.853911837,1.364526458,1.5422485,1.564438428,1.708137933,2.153159335,2.002952309,2.005960916,2.585853156
Dominican Rep.,0,0,0,0,0,0,0,0,0,0,0,0.052732836,0.10549348,0.158281946,0.211098249,0.263942403,0.316814424,0.369714325,0.422642122,0.47559783,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.528581462,0.629008296,0.729535454,0.830163039,0.930891149,1.031719885,1.132649348,1.233679638,1.334810856,1.436043103,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,1.53737648,2.235536573,2.579932852,1.979892578,2.070480918,2.199222183,2.689739579,2.821414944,2.854505473,2.413013056,2.406977172,0.985242482,1.747737785,2.499439398,2.582810676,0.626967314,0.945693589,0.686260925,0.216892752,1.245950936,1.829997092,3.151486734,2.79576705,3.387665578,3.365838041,5.307262232,4.735585928,4.954102906,5.240594889,4.652489244,4.268196961,3.687929761,2.70965384,2.024611786,1.521333361,0.82598355,0.501033042,0.784034249,0.651951319,1.46994013,0.419279743,0.133002126,0.622321473,0.441564143,0.893652157,1.649477604,2.104163477,2.226289085,2.926781791,2.532856704,3.966928241,4.294409744,4.132241534,4.23332301,4.44672978,4.859801875,5.18473906,5.186850782,4.967717452,4.497564531,4.357128134,4.419267023
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0.062422937,0.124884839,0.187385733,0.249925641,0.312504589,0.3751226,0.437779699,0.500475911,0.563211259,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.625985768,0.984037677,0.670165258,0.88747968,1.777372575,1.577299558,1.299657168,2.120544188,2.842224017,3.82000384,3.647021349,3.226784971,3.328459623,3.977984144,2.950216189,3.618063537,3.827163745,3.022038824,2.406445488,1.390019568,1.740997716,2.078841994,2.189155598,1.496425687,1.505076563,1.374434122,2.017105883,1.884034829,1.934760787,2.168491117,2.162191366,2.201557333,2.516537341,2.59838498,3.554352288,3.445414134,3.033520281,3.732277744,3.847830628,4.002109747,4.01413484,3.794542668,3.649440037,3.16794595,1.771538293,1.625144898,1.552714101,0.938501064,-0.300217319,0.068776505,-0.417003999,-0.563063774,-0.40105689,-0.153666884,0.331217225,0.421788153,0.362076201,0.326023075,1.373932103,0.457769308,-0.230657728,-1.954941791,-1.901349792,-2.052802681,-1.826020215,-1.402638508,-1.152677027,-0.865553515,-0.929114545,-0.314948923,0.568376981,2.490325202,2.773976223
Egypt,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,-0.000257657,0.062147303,0.124591206,0.187074078,0.249595943,0.312156824,0.374756747,0.437395735,0.500073813,0.562791005,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.625547336,0.639840227,0.654135147,0.668432097,0.682731079,0.697032091,0.711335135,0.725640211,0.739947318,0.754256457,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.768567629,0.693916316,0.619320305,0.544779557,0.47029403,0.395863683,0.321488476,0.247168367,0.172903316,0.098693282,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,0.024538224,-0.035759985,-0.089506779,-0.156037647,-0.216134095,-0.270196362,-0.044883516,0.177001312,0.40301769,0.631779209,0.862056528,1.314591174,1.784466667,2.279072734,2.751873456,3.211854985,2.793638885,2.207273197,1.926001325,2.173039832,2.377864905,2.212700744,1.79979777,1.454642775,1.217856779,1.590247058,3.028628889,4.377143506,4.873243953,4.855567215,5.135348251,4.927424405,5.640836889,6.017586982,6.142687086,5.689646786,4.354704829,3.38416774,3.131271363,2.733743342,1.999359099,1.381825064,0.801110757,0.307825151,0.196608687,0.102080736,0.416676727,0.716929745,0.874831317,1.18681017,1.532712914,2.269385363,2.280551833,2.463344374,2.503925289,2.523813782,2.736541453,2.788560432,2.930479987,2.781718046,2.72923786,2.540667498
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0.082467435,0.16500288,0.247606389,0.330278019,0.413017826,0.495825867,0.578702197,0.661646873,0.744659952,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.827741489,0.601668231,0.849210582,1.019837016,1.374800821,0.336363831,1.71217056,0.176936706,1.406089623,1.191680731,1.147117775,0.050410148,-1.423261955,-0.547541955,-0.790179116,0.987293332,-0.815013546,1.408892001,-0.758465231,-0.055182779,0.613367235,1.515432196,3.363056142,2.963554779,2.050028307,0.664359854,1.066843541,2.493308392,5.735932913,3.947969898,2.970053598,3.259631363,3.065895032,2.725455666,3.279019376,4.062530657,4.501416758,2.47409403,0.101223818,1.372965485,1.708472603,1.796797422,2.166056056,1.848395325,2.616315074,2.605361053,2.471101649,2.450175431,2.509139863,2.355548503,2.173817334,2.309294757,1.81312477,1.898756515,1.700795714,1.769830365,1.547628039,1.660572291,2.080735432,1.676867577,0.738738266,-0.164986367,-0.975049134,-1.199666939,-1.512960013,-1.71905407,-1.90520469,-2.137238669,-2.506755938,-2.171050268,-1.046954526,-0.201729057,0.813531083,1.297520442,1.631093256,1.989807054,2.057414445,2.215492433,2.395211898,2.614273787,2.513094738,2.383158831,1.875192165,1.422974996,1.014092793,0.69328941,1.056608061,1.155053152,1.050671181,0.544797611,0.611930782,0.784646454
Equatorial Guinea,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.117852427,0.139615999,0.161384302,0.183157336,0.204935104,0.226717606,0.248504843,0.270296816,0.292093526,0.313894974,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.335701162,0.682370154,0.843409652,1.072876286,1.437795813,1.561439189,1.798431734,1.951359042,2.093384483,2.476211697,3.293160048,3.702485968,4.490675697,5.544904989,6.49211053,7.568122276,7.586466563,7.949243075,7.998709886,7.097127355,5.779668387,3.934686371,1.439822426,0.570664219,-0.143800239,0.06644963,0.937260122,0.459693796,0.998095965,1.228286677,1.211443811,1.844182943,3.272112509,2.511966984,1.255349098,0.466686992,-1.393948658,-1.385877433,-2.176442747,-2.390065816,-2.503078965,-2.575921727,0.120203614,1.167092392,3.069395983,3.784314317,9.64317192,19.70577757,21.95456265,24.89874672,27.29268319,33.85495357,32.28362648,32.6668711,34.95767946,34.08688924,27.62261757,17.94302426,16.84483625,13.29322706,11.30767437,6.534818268
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0.023996809,0.047999377,0.072007704,0.096021792,0.120041644,0.144067259,0.168098639,0.192135787,0.216178702,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.240227387,0.262039516,0.283856391,0.305678014,0.327504385,0.349335505,0.371171375,0.393011997,0.414857372,0.4367075,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.458562383,0.526282299,0.592687897,0.940849414,0.720081902,1.023123881,1.124165709,0.817858537,0.911897746,0.945714449,1.212527947,1.268413307,1.301202537,1.076605425,1.367758584,1.415302626,1.528794336,2.202809427,2.349651963,2.389026028,1.667839411,1.669097511,1.664381021,1.432577237,1.068183658,-0.015785289,-0.448072739,-1.017972623,-2.02247726,-1.302632125,-0.880395571,-1.034303088,-1.355700319,-0.858232739,-1.166292223,-2.003008341,-1.235783494,-0.095332438,0.37746919,-0.842742112,-0.94779573,0.0220123,1.239054695,2.031105036,4.548200605,6.318807169,6.434472108,5.961270316,6.147196362,6.213895446,4.519524032,3.951886561,2.761324798,0.803348792,-1.344254351,-1.619732026,-2.751444603,-3.45232611,-4.655369921,-4.289013268,-2.750989494,-2.67323212
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.104254493,0.157028202,0.209829733,0.2626591,0.315516318,0.368401402,0.421314366,0.474255225,0.527223994,0.580220688,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.633245321,0.174413355,1.689273122,1.231772366,0.434712163,0.329951117,-0.609481722,0.230934802,1.428473616,2.674035302,1.816501881,3.210174285,1.437146685,2.098914572,3.456371594,3.274502152,4.441927885,4.364616487,2.333106926,2.049696873,1.596821898,0.166116735,-0.064013873,0.555837123,0.3366508,1.209451726,0.164310427,0.107010106,1.323522664,-0.152673296,1.364451571,0.634048794,-0.269881194,-3.325929404,-4.487720638,-2.582877707,-0.426705879,0.19632639,0.380476171,1.015049717,1.186915649,2.660002495,4.701822284,7.676956588,8.616909099,5.60320592,3.800463506,2.236854263,2.136725561,2.998088756,2.880084183,3.204474102,3.013860623,2.86085122,2.29161994,1.908671518,2.046099824,1.975463032,1.195243661,-0.00997666,-0.54098188,-1.307651573,-0.743504375,0.052227488,1.464485211,2.858158883,2.92333857,3.589376868,4.051140012,4.567731833,5.443062164,6.424905289,5.33758156,4.631431296,3.412131075,3.336629287,3.860144216,3.494482402,2.837372665,3.634755229,3.412426828,3.023319027,3.332491672,3.252450345,3.598929414,3.518066573,3.295592083,3.144934562,4.279026207,3.414572098,2.959613966,3.021874671,2.889620041,2.62753912,2.502505875,1.825674578,1.723437422,1.985882488,1.550463644,1.390118146,1.456988617,1.404760772,1.303417148,1.27255689,1.505793082,1.261522915,0.19907283,-1.327032027,-2.235940768,-2.321490159,-1.80236871,-1.605015487,-0.613492301,-0.204964497,-0.287399065,0.793647579,2.504495422,4.66696025,5.9391493,6.859201112,7.3433509,7.787356802,7.399008653,6.321955176,4.651996428,4.137375611,4.244919702
